Ave_close,Ave_open,CostPercentOfTxVol,DATE,Franc_Can_Conversion_rate,Franc_Can_Reciprocal_rate,Franc_EUR_Conversion_rate,Franc_Euro_Reciprocal_rate,Franc_GBP_Conversion_rate,Franc_GBP_Reciprocal_rate,Franc_USD_Conversion_rate,Franc_USD_Reciprocal_rate,should_have_bought
5.79,5.85,9.720915467,9/14/2011,1.1299,0.885,0.8314,1.2028,0.7227,1.3837,1.1398,0.8773,FALSE
5.51644,5.699966667,14.11606633,9/15/2011,1.1335,0.8822,0.8288,1.2065,0.7266,1.3762,1.1485,0.8707,FALSE
4.89,5.413106667,7.10211068,9/16/2011,1.1209,0.8921,0.8287,1.2067,0.7228,1.3834,1.1421,0.8755,TRUE
4.973333333,4.710133333,8.761324413,9/19/2011,1.1195,0.8933,0.8294,1.2056,0.7217,1.3857,1.131,0.8841,TRUE
5.280003333,4.960666667,8.492419708,9/20/2011,1.1177,0.8947,0.8223,1.2162,0.7166,1.3955,1.1263,0.8879,TRUE
5.857303333,5.29401,6.114103528,9/21/2011,1.1178,0.8946,0.8157,1.226,0.7168,1.3952,1.1194,0.8934,FALSE
5.642163333,5.820636667,10.03959583,9/22/2011,1.1381,0.8787,0.8195,1.2202,0.7175,1.3937,1.1018,0.9076,FALSE
5.50058,5.60745,11.91333825,9/23/2011,1.1375,0.8791,0.8185,1.2218,0.715,1.3987,1.1063,0.9039,TRUE
5.493333333,5.54,10.45503774,9/26/2011,1.1458,0.8728,0.82,1.2196,0.7126,1.4033,1.1082,0.9023,FALSE
4.756563333,5.527996667,8.54939249,9/27/2011,1.1375,0.8791,0.8204,1.2189,0.7119,1.4047,1.1162,0.8959,TRUE
4.8152,4.806563333,10.21109765,9/28/2011,1.1417,0.8759,0.8194,1.2205,0.7136,1.4014,1.1166,0.8956,FALSE
4.704156667,4.808543333,13.32462653,9/29/2011,1.1553,0.8656,0.8194,1.2204,0.7126,1.4034,1.1175,0.8948,TRUE
4.719783333,4.703283333,10.21106396,9/30/2011,1.148,0.8711,0.8217,1.217,0.7073,1.4139,1.105,0.905,TRUE
4.928003333,4.942336667,9.308052331,10/4/2011,1.1495,0.8699,0.8155,1.2263,0.7038,1.4208,1.084,0.9225,FALSE
4.896666667,4.911336667,8.620130272,10/5/2011,1.132,0.8834,0.8129,1.2301,0.7019,1.4247,1.0834,0.9231,FALSE
4.833333333,4.873333333,4.958347019,10/6/2011,1.1311,0.8841,0.8089,1.2363,0.7044,1.4197,1.0845,0.9221,FALSE
4.73481,4.816673333,7.295220627,10/7/2011,1.1283,0.8863,0.8085,1.2368,0.6991,1.4305,1.0925,0.9154,FALSE
4.03096,4.032523333,10.57697791,10/10/2011,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,TRUE
4.236666667,4.033333333,6.73752918,10/11/2011,1.1347,0.8813,0.8077,1.238,0.7074,1.4137,1.103,0.9066,FALSE
3.982266667,4.046946667,8.465316765,10/12/2011,1.1362,0.8801,0.8098,1.2349,0.7095,1.4094,1.1179,0.8946,TRUE
4.016333333,3.93194,6.338968746,10/13/2011,1.1374,0.8792,0.8091,1.2359,0.7064,1.4157,1.111,0.9001,FALSE
3.972383333,3.996666667,8.650519432,10/14/2011,1.1357,0.8805,0.8075,1.2384,0.7081,1.4123,1.1192,0.8935,FALSE
2.959993333,3.686333333,6.146946593,10/18/2011,1.1275,0.8869,0.8087,1.2365,0.7088,1.4109,1.1094,0.9014,FALSE
2.30567,2.223333333,7.238953,10/21/2011,1.1399,0.8773,0.8143,1.228,0.7085,1.4114,1.1296,0.8853,TRUE
2.671666667,3.038856667,5.84680329,10/25/2011,1.1533,0.8671,0.8173,1.2235,0.7109,1.4066,1.1369,0.8796,TRUE
2.730393333,2.55988,4.486314262,10/26/2011,1.1423,0.8754,0.8172,1.2237,0.711,1.4064,1.1309,0.8843,TRUE
2.736006667,2.757933333,7.391155239,10/27/2011,1.1547,0.866,0.8196,1.2201,0.7223,1.3845,1.1614,0.861,FALSE
3.346666667,3.693676667,8.083990901,10/31/2011,1.141,0.8764,0.8235,1.2144,0.7115,1.4054,1.1485,0.8707,FALSE
3.25767,3.225,5.776616162,11/1/2011,1.1454,0.8731,0.8213,1.2176,0.7044,1.4197,1.1232,0.8903,FALSE
3.187333333,3.267056667,5.460776183,11/2/2011,1.1496,0.8699,0.8226,1.2156,0.7108,1.4068,1.1353,0.8808,FALSE
2.958863333,2.96667,10.04851739,11/7/2011,1.1283,0.8863,0.8071,1.2389,0.6922,1.4447,1.1092,0.9015,TRUE
3.035326667,3.034256667,3.252667115,11/9/2011,1.1226,0.8908,0.8117,1.232,0.6916,1.446,1.1035,0.9062,TRUE
3.060003333,3.033903333,5.80349865,11/10/2011,1.1249,0.889,0.8118,1.2318,0.6928,1.4434,1.1039,0.9059,FALSE
2.99966,3.043003333,4.356505684,11/11/2011,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,TRUE
3.107953333,3.093656667,5.528559334,11/14/2011,1.1217,0.8915,0.8089,1.2362,0.6933,1.4425,1.1021,0.9074,FALSE
2.326666667,2.942576667,5.273771043,11/15/2011,1.115,0.8969,0.8056,1.2413,0.6887,1.4519,1.0894,0.9179,TRUE
2.382986667,2.5033,0.473524219,11/16/2011,1.1131,0.8984,0.8075,1.2383,0.6917,1.4458,1.0906,0.9169,TRUE
2.719783333,2.386666667,0.281331767,11/17/2011,1.1155,0.8965,0.8068,1.2395,0.6904,1.4484,1.0908,0.9167,FALSE
